dataset,sequences,sites,model,type,logl,AICc,GammaShape
1QRG_A,301,416,JTT-G,enzyme,-67091.2712648,135388.329955,1.05986471115
1LJL_A,301,182,JC69-G,enzyme,-38692.6058025,78598.5225443,0.497631263941
1HV9_A,301,574,gcpREV-G,enzyme,-114631.830844,230467.850498,0.597953279931
1L1D_A,301,194,JC69-No,enzyme,-45483.3689254,92177.1751281,NA
1NU3_A,164,222,gcpREV-G,enzyme,-29298.1320267,59254.1730914,1.21004131409
1K30_A,66,562,mtVer-G,enzyme,-34133.3865451,68527.6946021,0.756405497166
1BZC_A,83,698,gcpREV-No,enzyme,-27179.7416577,54686.4087785,NA
1POW_A,301,840,WAG-G,enzyme,-183212.18857,367627.236334,1.08332965163
1S95_A,77,698,gcpREV-G,enzyme,-24226.0934348,48757.0547441,0.613755698656
1AJ8_A,301,544,gcpREV-G,enzyme,-100398.150435,202000.721532,0.836755046585
1A16_A,301,603,LG-G,enzyme,-127397.457757,255998.902204,0.787582080638
1W0H_A,86,427,WAG-G,enzyme,-27985.2613783,56312.1134107,0.985119863317
1CTN_A,148,1485,gcpREV-G,enzyme,-97592.5561962,195773.902697,1.11532939471
3CSM_A,301,813,JTT-G,enzyme,-78461.1572275,158125.268837,0.898167210718
1FPS_A,301,930,JC69-G,enzyme,-106590.375522,214383.332945,0.53272952183
1EG7_A,301,740,JC69-No,enzyme,-163678.28693,328557.809657,NA
1FR8_A,121,821,gcpREV-G,enzyme,-35079.1918345,70639.5509747,0.602557683733
1CBG_A,301,1260,JC69-G,enzyme,-161696.418096,324594.740808,0.524711555155
1LJL_A,301,182,gcpREV-No,enzyme,-38573.3731973,78358.0127931,NA
1BZC_A,83,698,WAG-No,enzyme,-26804.3237563,53935.5729757,NA
1SMN_A,183,474,WAG-No,enzyme,-64758.9042073,130246.867805,NA
1A50_B,301,564,gcpREV-G,enzyme,-91277.1671906,183758.597725,0.608003788526
1A8S_A,301,369,JC69-G,enzyme,-71944.4299462,145095.38848,0.508955542625
1CEL_A,301,904,gcpREV-G,enzyme,-141341.591009,283885.838342,0.847553291256
1HR6_B,301,890,WAG-No,enzyme,-125327.80207,251856.293353,NA
1PMA_B,301,311,mtVer-G,enzyme,-71116.4792147,143440.712434,0.848601759572
1B93_A,301,210,mtVer-G,enzyme,-43680.042648,88571.6044066,0.491355098434
1POW_A,301,840,JTT-No,enzyme,-195267.561735,391735.973138,NA
1POW_A,301,840,gcpREV-No,enzyme,-195293.837631,391788.524928,NA
1DPG_A,301,674,JTT-No,enzyme,-151784.165359,304769.884313,NA
1JOF_A,88,714,WAG-G,enzyme,-29890.1750802,60129.3221189,1.06669028637
1G72_A,301,1165,JC69-G,enzyme,-174673.21603,350548.492255,0.578873555726
13PK_A,301,768,JC69-G,enzyme,-109049.503397,219302.134734,0.469683971791
1E7Q_A,301,505,mtVer-G,enzyme,-85167.1023063,171538.968027,0.464353634131
1C2T_A,301,284,LG-No,enzyme,-64584.7281666,130375.92436,NA
1GP1_A,301,411,WAG-No,enzyme,-53699.0571882,108601.95301,NA
206L_A,143,415,JC69-No,enzyme,-34594.5447789,69757.8112185,NA
1BF2_A,301,1450,JTT-G,enzyme,-197780.889591,396763.433884,0.714189997136
1DPG_A,301,674,LG-No,enzyme,-151670.309792,304542.17318,NA
1A8S_A,301,369,JC69-No,enzyme,-78675.6431593,158555.793121,NA
1G8F_A,301,1065,gcpREV-No,enzyme,-150274.57818,301749.402856,NA
1NIR_A,157,755,WAG-No,enzyme,-74934.5585335,150492.758575,NA
3PVA_A,301,565,LG-G,enzyme,-126991.11335,255186.482472,1.09094815833
1L1D_A,301,194,LG-G,enzyme,-36280.6974782,73773.8739764,0.584369915387
1A50_B,301,564,JTT-G,enzyme,-91647.9150053,184500.093354,0.592583202441
1E7Q_A,301,505,WAG-G,enzyme,-79177.5252976,159559.81401,0.643882416124
1A4L_A,301,888,JC69-No,enzyme,-131353.779734,263908.254751,NA
1E6E_A,301,1077,JC69-G,enzyme,-154745.731338,310693.691519,0.506517396162
1QRG_A,301,416,JTT-No,enzyme,-70326.3153058,141856.398731,NA
1B93_A,301,210,JTT-G,enzyme,-41771.4022865,84754.3236836,0.65577518694
1BZC_A,83,698,mtVer-No,enzyme,-29096.1783162,58519.2820954,NA
1L7N_A,201,265,JC69-No,enzyme,-49620.0121945,100044.06241,NA
1UQT_A,301,756,LG-G,enzyme,-140247.667007,281698.511736,0.552474815148
1CTT_A,301,662,mtVer-No,enzyme,-110148.767292,221499.152791,NA
1B93_A,301,210,JC69-G,enzyme,-46210.7565745,93633.0322597,0.457021095953
1E6E_A,301,1077,WAG-G,enzyme,-139178.498468,279559.225779,0.946125227517
1TLP_E,34,493,mtVer-No,enzyme,-16119.9732048,32370.4603052,NA
1UAQ_A,301,327,gcpREV-G,enzyme,-41255.9635489,83719.2993709,0.647579739405
1OPM_A,128,810,WAG-No,enzyme,-55725.4380845,111958.118835,NA
1PMA_B,301,311,WAG-No,enzyme,-70673.3374267,142552.402972,NA
1BZC_A,83,698,LG-G,enzyme,-26223.9268264,52776.7904873,0.971622484642
1POW_A,301,840,mtVer-No,enzyme,-212709.300341,426619.45035,NA
1MQW_A,301,313,JC69-G,enzyme,-71474.0489876,144155.802116,0.600498588027
1QFM_A,301,1406,mtVer-G,enzyme,-222508.201616,446218.109791,0.658883650783
1POW_A,301,840,JC69-No,enzyme,-217627.936436,436456.722539,NA
1DPG_A,301,674,JC69-No,enzyme,-171283.218519,343767.990634,NA
1A4L_A,301,888,mtVer-No,enzyme,-130470.7258,262142.146884,NA
1TRK_B,301,1055,JTT-G,enzyme,-171749.741212,344701.757833,0.750085496107
1YCF_A,301,608,JTT-No,enzyme,-138390.871841,277983.684299,NA
1A4L_A,301,888,gcpREV-No,enzyme,-119914.574375,241029.844035,NA
1WGI_A,301,760,JC69-G,enzyme,-81038.8209382,163280.80283,0.485113536168
2JCW_A,301,301,JC69-No,enzyme,-44032.4452545,89270.8770869,NA
1C82_A,79,1360,gcpREV-G,enzyme,-61511.7423556,123335.941298,1.15984996881
3ECA_A,301,471,mtVer-No,enzyme,-119697.504336,240598.10037,NA
1QRG_A,301,416,gcpREV-No,enzyme,-70414.2313314,142032.230783,NA
1HV9_A,301,574,gcpREV-No,enzyme,-126446.262576,254094.699998,NA
1STC_E,301,1078,gcpREV-G,enzyme,-83775.2776317,168752.782035,0.537909650058
1EG7_A,301,740,gcpREV-No,enzyme,-142885.901575,286973.038947,NA
1QJE_A,122,533,JTT-No,enzyme,-48131.8985645,96747.5976354,NA
1A8H_A,154,734,mtVer-G,enzyme,-84679.8979805,169973.462648,0.669108288126
3PVA_A,301,565,JC69-No,enzyme,-146232.799752,293667.841087,NA
1QAZ_A,43,499,JTT-No,enzyme,-23489.7298716,47146.1121551,NA
7ATJ_A,301,477,LG-G,enzyme,-92145.5125083,185496.06922,0.836096569289
1E7Q_A,301,505,gcpREV-No,enzyme,-89934.7771968,181072.301925,NA
1CZ1_A,301,858,gcpREV-No,enzyme,-158981.110086,319163.009917,NA
1EG7_A,301,740,mtVer-No,enzyme,-155811.548469,312824.332734,NA
1B73_A,301,423,gcpREV-G,enzyme,-91352.6846365,183911.060471,0.726296780731
206L_A,143,415,mtVer-No,enzyme,-35960.7599627,72490.241586,NA
1CEL_A,301,904,LG-No,enzyme,-148101.57983,297403.807135,NA
3PVA_A,301,565,WAG-G,enzyme,-125871.203922,252946.663614,1.20477761761
1BF2_A,301,1450,WAG-No,enzyme,-212740.785154,426681.2195,NA
1EUU_A,203,2253,JTT-No,enzyme,-162260.300313,325327.31322,NA
1AF7_A,301,416,JTT-No,enzyme,-101386.816819,203977.401759,NA
3ECA_A,301,471,LG-G,enzyme,-104306.003683,209817.116101,0.851265781353
1OAC_A,301,1304,WAG-No,enzyme,-220011.990762,441223.815646,NA
206L_A,143,415,LG-No,enzyme,-32389.6918842,65348.1054291,NA
1JOF_A,88,714,JTT-No,enzyme,-31649.4416824,63645.8441998,NA
1NIR_A,157,755,gcpREV-G,enzyme,-71147.8694246,142921.390927,0.634624005294
1IVH_A,301,650,JC69-No,enzyme,-104042.209644,209286.104496,NA
1ZE1_A,301,532,LG-No,enzyme,-129706.20419,260614.914059,NA
1QAZ_A,43,499,gcpREV-G,enzyme,-22831.7037452,45832.0756543,0.885177912809
1MBB_A,301,469,mtVer-G,enzyme,-109249.665716,219704.462046,0.63164415924
1L1D_A,301,194,JC69-G,enzyme,-40020.805875,81254.0907699,0.385637650325
1A16_A,301,603,JTT-No,enzyme,-136844.700397,274891.374194,NA
1G8F_A,301,1065,JC69-G,enzyme,-157474.604146,316151.462297,0.526417907876
1A4L_A,301,888,WAG-G,enzyme,-112221.578661,225645.861616,0.75689772259
1YVE_I,145,1452,WAG-No,enzyme,-67785.4533438,136145.692944,NA
1HV9_A,301,574,JC69-No,enzyme,-143645.316688,288492.808222,NA
1CF2_O,301,475,gcpREV-No,enzyme,-100740.089558,202683.227755,NA
1C82_A,79,1360,mtVer-G,enzyme,-63915.5529913,128143.562569,1.02714846094
1C0K_A,301,1096,JC69-No,enzyme,-158851.615189,318903.413217,NA
1CTN_A,148,1485,WAG-No,enzyme,-99751.1145376,200089.014018,NA
3CSM_A,301,813,WAG-No,enzyme,-82998.9895448,167198.923628,NA
3PVA_A,301,565,WAG-No,enzyme,-131617.183414,264436.608413,NA
1C0K_A,301,1096,mtVer-No,enzyme,-159558.27128,320316.725398,NA
1B93_A,301,210,LG-G,enzyme,-41877.2848018,84966.0887143,0.619948730106
1W0H_A,86,427,JC69-No,enzyme,-31641.257687,63622.0873811,NA
1DJ0_A,301,439,mtVer-No,enzyme,-91609.8322111,184423.128961,NA
1QI9_A,97,1462,gcpREV-G,enzyme,-74742.7263025,149869.975917,0.852143807494
1TLP_E,34,493,JC69-G,enzyme,-15540.844931,31214.2196014,0.543925854775
1FF3_A,301,306,LG-No,enzyme,-61015.0496492,123235.954521,NA
1YCF_A,301,608,LG-No,enzyme,-138526.161703,278254.264022,NA
1DBT_A,301,314,mtVer-G,enzyme,-75767.5607352,152742.800918,0.47878943091
1MHY_D,33,632,gcpREV-No,enzyme,-20949.5473783,42025.482598,NA
1C82_A,79,1360,gcpREV-No,enzyme,-63440.7669258,127191.984618,NA
1TRK_B,301,1055,LG-G,enzyme,-170697.273249,342596.821907,0.780323210065
3ECA_A,301,471,JC69-No,enzyme,-124655.026722,250513.145142,NA
1G79_A,301,319,mtVer-G,enzyme,-61621.6021595,124450.762641,0.542118560008
1W0H_A,86,427,JC69-G,enzyme,-30297.7964632,60937.1835806,0.572396284048
1DEK_A,35,420,JC69-G,enzyme,-15941.8794811,32020.4003401,1.01471254865
1L7N_A,201,265,gcpREV-No,enzyme,-45021.8406391,90847.7192997,NA
1G72_A,301,1165,mtVer-No,enzyme,-177544.520962,356289.095257,NA
1GP1_A,301,411,mtVer-G,enzyme,-54787.305194,110780.468564,0.783627680369
1NU3_A,164,222,mtVer-No,enzyme,-33030.809783,66717.4923003,NA
1S95_A,77,698,mtVer-No,enzyme,-27579.9989015,55462.8543167,NA
1BZC_A,83,698,JC69-G,enzyme,-27850.5874846,56030.1118039,0.701721794296
1CBG_A,301,1260,WAG-No,enzyme,-155321.302892,311842.504058,NA
1FF3_A,301,306,WAG-G,enzyme,-55073.103803,111354.089143,0.642970097807
1SMN_A,183,474,JC69-G,enzyme,-68066.7867983,136864.649879,0.679275713373
1GPJ_A,301,659,LG-G,enzyme,-152101.304747,305406.256376,0.81670634521
1B8F_A,301,648,JC69-No,enzyme,-158317.004959,317835.706536,NA
1AJ8_A,301,544,mtVer-No,enzyme,-117508.121155,236218.648234,NA
1BZC_A,83,698,JTT-G,enzyme,-25921.380485,52171.6978047,0.992826922235
1CTN_A,148,1485,mtVer-No,enzyme,-108740.310288,218067.40552,NA
1A8S_A,301,369,WAG-No,enzyme,-67530.3923631,136265.291529,NA
1HV9_A,301,574,mtVer-No,enzyme,-138369.811848,277941.798543,NA
1HR6_B,301,890,JC69-G,enzyme,-132816.717236,266836.132676,0.515632852868
1HR6_B,301,890,JC69-No,enzyme,-141958.559643,285117.808499,NA
1CTT_A,301,662,JTT-No,enzyme,-102103.339818,205408.297843,NA
1FF3_A,301,306,JTT-No,enzyme,-61492.4611155,124190.777454,NA
1GDH_A,301,398,JTT-G,enzyme,-96127.1415904,193460.333669,1.03903906605
1AJ8_A,301,544,JTT-No,enzyme,-107900.400775,217003.207473,NA
1A50_B,301,564,mtVer-No,enzyme,-111623.865021,224449.979173,NA
1STC_E,301,1078,JTT-No,enzyme,-91518.4941263,184237.207607,NA
1LJL_A,301,182,WAG-No,enzyme,-37798.6869456,76808.6402896,NA
1CF2_O,301,475,JC69-No,enzyme,-113247.419828,227697.888296,NA
1CEL_A,301,904,mtVer-No,enzyme,-161323.653995,323847.955464,NA
1S95_A,77,698,JC69-No,enzyme,-27653.3376435,55609.5318008,NA
1FR8_A,121,821,mtVer-No,enzyme,-40322.6989275,81124.5554618,NA
1FPS_A,301,930,WAG-No,enzyme,-100220.656222,201641.885744,NA
1OAC_A,301,1304,gcpREV-No,enzyme,-225111.830785,451423.495693,NA
1YCF_A,301,608,WAG-G,enzyme,-130308.576127,261821.10605,1.24229269216
1DBT_A,301,314,JC69-G,enzyme,-78722.4999557,158652.679359,0.409179947606
1NBA_A,301,336,mtVer-G,enzyme,-82850.6272858,166908.428193,0.653754366566
7ATJ_A,301,477,JTT-No,enzyme,-98457.3779155,198117.783213,NA
1SML_A,301,472,JTT-No,enzyme,-114495.059646,230193.200157,NA
1ZE1_A,301,532,WAG-G,enzyme,-118964.084804,239132.69036,0.798254455833
1CTN_A,148,1485,gcpREV-No,enzyme,-101904.380295,204395.545533,NA
1YVE_I,145,1452,JC69-No,enzyme,-76624.4614415,153823.709139,NA
1AF7_A,301,416,JTT-G,enzyme,-92968.6301403,187143.047706,0.721928727193
1K30_A,66,562,mtVer-No,enzyme,-36541.1102795,73341.1279774,NA
1UQT_A,301,756,JTT-No,enzyme,-151780.242383,304761.6519,NA
1OPM_A,128,810,gcpREV-G,enzyme,-53343.4172658,107196.087033,0.710467491758
1SML_A,301,472,mtVer-G,enzyme,-118950.698607,239106.495079,0.776089846574
1FF3_A,301,306,mtVer-No,enzyme,-67619.3396741,136444.534571,NA
1E2A_A,301,155,JTT-No,enzyme,-39385.933718,79985.474862,NA
1DJ0_A,301,439,WAG-No,enzyme,-82737.1219677,166677.708474,NA
1A4L_A,301,888,LG-No,enzyme,-119614.497468,240429.690221,NA
1E7Q_A,301,505,JC69-G,enzyme,-88558.0769176,178320.91725,0.420907113483
1J79_A,301,481,JC69-No,enzyme,-105187.842716,211578.670832,NA
1G79_A,301,319,JTT-No,enzyme,-63074.331261,127354.195613,NA
1OAC_A,301,1304,mtVer-G,enzyme,-225424.342848,452050.525948,0.85171987708
1BZC_A,83,698,gcpREV-G,enzyme,-26108.4815202,52545.8998751,0.951262412401
1B93_A,301,210,WAG-No,enzyme,-45721.8656793,92653.2119527,NA
1QAZ_A,43,499,gcpREV-No,enzyme,-23681.5399711,47529.7323541,NA
1FR8_A,121,821,JTT-No,enzyme,-37413.0574248,75305.2724565,NA
1BZC_A,83,698,JC69-No,enzyme,-28911.8868474,58150.6991578,NA
1FPS_A,301,930,JTT-G,enzyme,-95119.0451367,191440.672175,0.975327986228
1PMA_B,301,311,JC69-G,enzyme,-76753.3574108,154714.468827,0.613582374584
1OPM_A,128,810,JC69-G,enzyme,-57663.1460536,115835.544609,0.580450098212
1WGI_A,301,760,gcpREV-No,enzyme,-80230.3973125,161661.945046,NA
206L_A,143,415,WAG-G,enzyme,-30744.4038909,62059.5487232,0.96162715282
1NIR_A,157,755,JC69-G,enzyme,-78432.967463,157491.587004,0.488444829301
1UAQ_A,301,327,mtVer-No,enzyme,-49559.6898502,100324.727365,NA
3PVA_A,301,565,LG-No,enzyme,-133442.902813,268088.04721,NA
1CTT_A,301,662,gcpREV-G,enzyme,-95933.2685248,193070.167355,0.806384846163
1E6E_A,301,1077,WAG-No,enzyme,-147857.128615,296914.478648,NA
1TLP_E,34,493,gcpREV-G,enzyme,-14372.0037176,28876.5371746,0.919342973236
1CEL_A,301,904,WAG-G,enzyme,-138007.489666,277217.635656,1.04612269675
1STC_E,301,1078,LG-G,enzyme,-84051.7129789,169305.652729,0.571566074407
1G72_A,301,1165,WAG-No,enzyme,-162598.553612,326397.160558,NA
13PK_A,301,768,WAG-No,enzyme,-102566.180627,206333.478773,NA
1QI9_A,97,1462,JTT-G,enzyme,-74156.6183844,148697.760081,0.864664112427
1GP1_A,301,411,JC69-G,enzyme,-56954.1094736,115114.077123,0.521349620448
1TAH_B,301,627,gcpREV-No,enzyme,-103111.817715,207425.456253,NA
1DJ0_A,301,439,JTT-G,enzyme,-76741.7353105,154688.953447,0.688840037634
1C82_A,79,1360,JTT-No,enzyme,-63201.1231913,126712.697149,NA
1TAH_B,301,627,LG-G,enzyme,-97159.7864187,195523.406438,0.939793204757
2DOR_A,301,484,JC69-No,enzyme,-117977.440677,237157.835725,NA
1SMN_A,183,474,WAG-G,enzyme,-61778.3992752,124287.874832,1.1217080818
1BF2_A,301,1450,gcpREV-No,enzyme,-219190.377853,439580.404897,NA
1E7Q_A,301,505,LG-G,enzyme,-79775.283523,160755.33046,0.593458034705
1MQW_A,301,313,JTT-G,enzyme,-64128.3711991,129464.446539,0.870223648128
1A50_B,301,564,JC69-No,enzyme,-114562.358466,230326.966063,NA
1QAZ_A,43,499,LG-No,enzyme,-23545.9453225,47258.543057,NA
1QAZ_A,43,499,LG-G,enzyme,-22773.5782712,45715.8247063,0.98019956338
1CEL_A,301,904,gcpREV-No,enzyme,-151783.784807,304768.217089,NA
1NBA_A,301,336,WAG-G,enzyme,-75591.0472445,152389.26811,0.965250423844
1UQT_A,301,756,JTT-G,enzyme,-140224.952419,281653.08256,0.753948957615
1C2T_A,301,284,JC69-G,enzyme,-65581.2743602,132371.045121,0.445432820308
1OH9_A,301,409,mtVer-G,enzyme,-92100.3462373,185406.579437,0.731303432441
1YON_A,301,523,WAG-G,enzyme,-103521.18739,208246.973625,0.946243200299
1DJ0_A,301,439,LG-G,enzyme,-77343.9971551,155893.477136,0.729225709004
3PVA_A,301,565,JTT-No,enzyme,-133587.878934,268377.999451,NA
1HR6_B,301,890,gcpREV-G,enzyme,-119157.656907,239518.012016,0.973250671206
1DJ0_A,301,439,mtVer-G,enzyme,-81279.5853162,163764.653459,0.535268829178
1DPG_A,301,674,gcpREV-G,enzyme,-140757.085986,282717.737451,0.810697399098
1OAC_A,301,1304,LG-G,enzyme,-213375.010969,427951.86219,1.15345637067
1OPM_A,128,810,gcpREV-No,enzyme,-56785.1873536,114077.617373,NA
1DPG_A,301,674,gcpREV-No,enzyme,-152297.365942,305796.285479,NA
1LJL_A,301,182,JTT-G,enzyme,-34819.6106467,70852.5322327,0.732235822005
3CSM_A,301,813,JTT-No,enzyme,-83557.8226867,168316.589911,NA
1CTN_A,148,1485,JTT-No,enzyme,-101078.789612,202744.364167,NA
13PK_A,301,768,LG-No,enzyme,-104444.454525,210090.026568,NA
1A16_A,301,603,WAG-No,enzyme,-134895.916423,270993.806246,NA
1NBA_A,301,336,gcpREV-G,enzyme,-77223.7951869,155654.763995,0.826496305404
1CBG_A,301,1260,LG-No,enzyme,-157011.497597,315222.893468,NA
1GCB_A,301,783,gcpREV-G,enzyme,-150993.646341,303190.360548,0.842989343169
1EG7_A,301,740,JC69-G,enzyme,-144837.970037,290879.186691,0.277033128975
1YVE_I,145,1452,JTT-No,enzyme,-68419.9550836,137414.696424,NA
1FR8_A,121,821,gcpREV-No,enzyme,-37767.5514498,76014.2605065,NA
2DOR_A,301,484,LG-No,enzyme,-106594.809213,214392.572797,NA
1AF7_A,301,416,mtVer-No,enzyme,-112581.692146,226367.152412,NA
1GDH_A,301,398,JC69-No,enzyme,-113680.708916,228565.448135,NA
1BQC_A,75,696,gcpREV-G,enzyme,-32571.3965146,65439.640352,0.826778629871
1EG7_A,301,740,LG-No,enzyme,-143127.849858,287456.935513,NA
1J79_A,301,481,mtVer-No,enzyme,-104507.907316,210218.800032,NA
7ATJ_A,301,477,gcpREV-No,enzyme,-99372.6698022,199948.366986,NA
1NU3_A,164,222,JC69-No,enzyme,-33080.2295812,66816.3318968,NA
1OAC_A,301,1304,JTT-No,enzyme,-222261.941931,445723.717985,NA
1BF2_A,301,1450,mtVer-G,enzyme,-210937.491341,423076.637383,0.584412986144
1AF7_A,301,416,WAG-No,enzyme,-100636.589629,202476.947379,NA
1DEK_A,35,420,JTT-G,enzyme,-15119.3511421,30375.343662,0.758608897349
1MQW_A,301,313,JC69-No,enzyme,-75847.4160718,152900.510564,NA
1JOF_A,88,714,WAG-No,enzyme,-31185.3086373,62717.5781096,NA
1A8S_A,301,369,JTT-G,enzyme,-63451.5064126,128109.541413,0.763924591266
1EUU_A,203,2253,WAG-No,enzyme,-160452.673519,321712.059634,NA
1BF2_A,301,1450,JTT-No,enzyme,-215124.495436,431448.640063,NA
1FR8_A,121,821,JC69-No,enzyme,-40061.0222383,80601.2020835,NA
2DOR_A,301,484,JC69-G,enzyme,-110956.795289,223118.561525,0.547853436815
1QAZ_A,43,499,WAG-No,enzyme,-23272.7636203,46712.1796526,NA
1REQ_A,301,992,mtVer-G,enzyme,-149120.693915,299443.808038,0.416397451401
1QJE_A,122,533,WAG-No,enzyme,-47447.2687677,95378.3380417,NA
1B93_A,301,210,mtVer-No,enzyme,-50473.2732339,102156.027062,NA
1PMA_B,301,311,LG-No,enzyme,-71556.5068265,144318.741771,NA
1STC_E,301,1078,WAG-G,enzyme,-83366.7773095,167935.78139,0.575486217867
1UQT_A,301,756,JC69-No,enzyme,-169617.287145,340435.741425,NA
1B73_A,301,423,LG-G,enzyme,-92439.0493879,186083.789974,0.749338886354
1H3I_A,39,647,mtVer-G,enzyme,-20369.8149136,40892.095084,1.77742243448
1K30_A,66,562,JTT-G,enzyme,-32543.4659714,65347.8534546,0.895926860079
1GA8_A,131,500,mtVer-G,enzyme,-68517.8121735,137557.704698,0.966475429397
1MHY_D,33,632,JC69-G,enzyme,-21882.1005769,43892.6013269,1.23253975508
1G72_A,301,1165,LG-G,enzyme,-156933.732509,315069.525213,0.945602137327
1HV9_A,301,574,LG-G,enzyme,-115518.180549,232240.549908,0.672650360465
1G79_A,301,319,JTT-G,enzyme,-58051.7870574,117311.132437,0.728316663261
1E6E_A,301,1077,mtVer-G,enzyme,-148605.042099,298412.313041,0.817389601024
1CTT_A,301,662,JC69-No,enzyme,-111098.26897,223398.156145,NA
1SML_A,301,472,mtVer-No,enzyme,-127471.330399,256145.741663,NA
1EXP_A,158,502,JC69-G,enzyme,-66016.677199,132663.858417,0.556710040777
1IVH_A,301,650,WAG-G,enzyme,-82214.8936397,165633.484812,0.632487419348
1FR8_A,121,821,LG-G,enzyme,-35382.3523556,71245.8720169,0.647656624003
1YCF_A,301,608,WAG-No,enzyme,-136047.420292,273296.781201,NA
1DBT_A,301,314,WAG-G,enzyme,-70977.4346594,143162.548767,0.727026869418
1GA8_A,131,500,gcpREV-G,enzyme,-65715.4848166,131953.049984,1.13996012903
1NIR_A,157,755,gcpREV-No,enzyme,-77093.8316627,154811.304833,NA
1EXP_A,158,502,LG-G,enzyme,-59903.1812643,120436.866547,1.02011530349
1NIR_A,157,755,mtVer-G,enzyme,-74427.9015394,149481.455157,0.61814616809
1NIR_A,157,755,JTT-G,enzyme,-70607.0655197,141839.783118,0.621719476644
1STC_E,301,1078,LG-No,enzyme,-92254.0989786,185708.417311,NA
1POW_A,301,840,JC69-G,enzyme,-207803.360108,416809.579409,0.613466472682
1YCF_A,301,608,JC69-No,enzyme,-153807.465733,308816.872082,NA
1C82_A,79,1360,WAG-No,enzyme,-62375.5518651,125061.554496,NA
1DBT_A,301,314,LG-No,enzyme,-78999.0433161,159203.740443,NA
1IVH_A,301,650,mtVer-No,enzyme,-99135.3421945,199472.369598,NA
1EUU_A,203,2253,gcpREV-No,enzyme,-164060.315338,328927.343272,NA
1DPG_A,301,674,JC69-G,enzyme,-157813.534399,316830.634277,0.508052315103
1G72_A,301,1165,JTT-No,enzyme,-165491.230834,332182.515,NA
1AF7_A,301,416,LG-G,enzyme,-92985.0397282,187175.866882,0.694337246638
1IVH_A,301,650,LG-No,enzyme,-91931.0870822,185063.859373,NA
13PK_A,301,768,JTT-No,enzyme,-104843.156089,210887.429697,NA
1BQC_A,75,696,JTT-G,enzyme,-32533.7699747,65364.3872722,0.919457883
1QI9_A,97,1462,mtVer-G,enzyme,-78891.7113286,158167.945969,0.718175519589
1E6E_A,301,1077,JTT-No,enzyme,-149106.987458,299414.196334,NA
1QRG_A,301,416,JC69-G,enzyme,-73265.8206563,147737.428738,0.587030068968
1B73_A,301,423,mtVer-G,enzyme,-96768.2486155,194742.188429,0.497801674088
1TRK_B,301,1055,mtVer-G,enzyme,-181017.477321,363237.230051,0.61131681682
1AJ8_A,301,544,JTT-G,enzyme,-100238.713387,201681.847435,0.794652258823
1PMA_B,301,311,WAG-G,enzyme,-67508.2851509,136224.324307,1.19711662926
1DBT_A,301,314,mtVer-No,enzyme,-88864.8047545,178935.26332,NA
1DEK_A,35,420,LG-G,enzyme,-14991.7536659,30120.1487097,0.74244330985
1S3I_A,266,571,mtVer-G,enzyme,-101942.809121,204949.337049,0.734286814091
1E2A_A,301,155,gcpREV-No,enzyme,-38834.7305574,78883.0685407,NA
1B93_A,301,210,JTT-No,enzyme,-46599.8757481,94409.2320903,NA
1JOF_A,88,714,JC69-No,enzyme,-35305.3242026,70957.6092403,NA
1A16_A,301,603,mtVer-No,enzyme,-150209.451821,301620.877042,NA
1FR8_A,121,821,WAG-No,enzyme,-37116.2529497,74711.6635062,NA
1A50_B,301,564,gcpREV-No,enzyme,-102088.363302,205378.975734,NA
1B73_A,301,423,JC69-G,enzyme,-101738.811736,204683.31467,0.478302076482
1A16_A,301,603,mtVer-G,enzyme,-136402.841675,274009.670038,0.665843160369
1FF3_A,301,306,LG-G,enzyme,-55465.3677037,112138.616944,0.710909834039
1G79_A,301,319,WAG-No,enzyme,-62313.0252332,125831.583557,NA
1CBG_A,301,1260,WAG-G,enzyme,-145841.143239,292884.191094,0.774951682121
1E2A_A,301,155,WAG-No,enzyme,-38730.5697063,78674.7468385,NA
13PK_A,301,768,WAG-G,enzyme,-95146.4274541,191495.982849,0.827295037132
1UQT_A,301,756,WAG-No,enzyme,-150322.281617,301845.730369,NA
1DJ0_A,301,439,JTT-No,enzyme,-83823.5277672,168850.520074,NA
1CEL_A,301,904,mtVer-G,enzyme,-148770.791067,298744.238459,0.745271525588
1CBG_A,301,1260,LG-G,enzyme,-147025.670246,295253.245109,0.686124521334
1EG7_A,301,740,WAG-G,enzyme,-126672.547806,254548.342228,0.6637686425
1E7Q_A,301,505,mtVer-No,enzyme,-98747.376166,198697.499863,NA
1JOF_A,88,714,gcpREV-G,enzyme,-30402.6293455,61154.2306494,0.95666054435
1SML_A,301,472,WAG-No,enzyme,-113009.212636,227221.506137,NA
7ATJ_A,301,477,WAG-No,enzyme,-98010.3420309,197223.711444,NA
1WGI_A,301,760,JTT-G,enzyme,-73446.5721585,148096.305271,0.750062263559
2DOR_A,301,484,WAG-G,enzyme,-99020.3884584,199245.747864,1.06801498386
1QJE_A,122,533,LG-G,enzyme,-45952.6922712,92391.2000187,0.95092506363
1NBA_A,301,336,LG-No,enzyme,-81405.0877663,164015.32521,NA
1GTP_A,301,338,mtVer-No,enzyme,-67498.740234,136202.587589,NA
1FPS_A,301,930,JTT-No,enzyme,-101184.218876,203569.011052,NA
1GA8_A,131,500,LG-G,enzyme,-65850.179129,132222.438609,1.03063629382
